time,Inc
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0.004493022
22,0.00961726
23,0.015510406
24,0.022333925
25,0.030278295
26,0.039569444
27,0.050476692
28,0.06332254
29,0.078494769
30,0.096461421
31,0.117789357
32,0.143167321
33,0.173434619
34,0.209616894
35,0.252970813
36,0.305040032
37,0.367725432
38,0.443373458
39,0.534887451
40,0.645868256
41,0.780792102
42,0.945236037
43,1.146164014
44,1.392290363
45,1.694541914
46,2.066645702
47,2.525876077
48,3.094003327
49,3.798495409
50,4.674034783
51,5.764422388
52,7.12494853
53,8.825311727
54,10.9531546
55,13.61824983
56,16.95729258
57,21.13911588
58,26.36991539
59,32.89772251
60,41.01488912
61,51.05676844
62,63.39418958
63,78.41691162
64,96.50526989
65,117.9879694
66,143.0856323
67,171.8423184
68,204.0507751
69,239.1815334
70,276.3308146
71,314.2063122
72,351.1706901
73,385.356611
74,414.8520586
75,437.9325724
76,453.2953925
77,460.2402989
78,458.75108
79,449.4589285
80,433.5034817
81,412.3337629
82,387.5000332
83,360.4785046
84,332.551782
85,304.7484201
86,277.8315136
87,252.3204696
88,228.5303849
89,206.6169531
90,186.6191595
91,168.4957809
92,152.1543627
93,137.4729338
94,124.3154867
95,112.5424918
96,102.0176688
97,92.6120542
98,84.20618973
99,76.69105434
100,69.96818781
101,63.94932233
102,58.55573646
103,53.71747342
104,49.37251454
105,45.46596333
106,41.9492725
107,38.77953036
108,35.91881321
109,33.33360414
110,30.9942753
111,28.8746286
112,26.95148965
113,25.20434922
114,23.61504709
115,22.16749353
116,20.84742393
117,19.64218277
118,18.54053352
119,17.53249129
120,16.60917564
121,15.76268116
122,14.98596369
123,14.27274027
124,13.61740136
125,13.01493366
126,12.46085238
127,11.95114179
128,11.48220305
129,11.05080845
130,10.65406117
131,10.28936008
132,9.954368756
133,9.646988329
134,9.365333613
135,9.107712167
136,8.872605902
137,8.658654936
138,8.464643421
139,8.289487125
140,8.132222553
141,7.991997435
142,7.868062438
143,7.759763968
144,7.666537937
145,7.587904425
146,7.523463126
147,7.472889519
148,7.435931705
149,7.412407841
150,7.402204129
